bstn,hostname,role,ip,root_ip,serialNumber,platform,model
TN-ERO-PWU,TN-ERO-PWU-T3-VM-TTR-C5XD-R01,TTR,100.70.202.18,null,FOC2733N0L2,XR,ciscoNCS540L6Z18GSysD
MP-IND-SZW,MP-IND-SZW-B2-AL-MME-C45X-S01,MME,100.71.153.69,100.71.112.98,JAE2150030V,XE,cat4500X16
MH-TAN-RTC,MH-TAN-RTC-B1-ST-MHU-C45X-S05,MHU,100.70.211.5,null,JAE23270B3H,XE,cat4500X16
KA-BLR-RV8,KA-BLR-RV8-C3-ST-CCE-E12T-S01,CCE,100.72.6.210,100.72.6.210,EC2247003632,EdgeCOS,ECS4100-12T
TN-UDM-UMP,TN-UDM-UMP-T3-VM-TTR-C5XD-R01,TTR,100.70.202.17,null,FOC2641NNVM,XR,ciscoNCS540L6Z18GSysD
MP-IND-MQU,MP-IND-MQU-B2-AL-MME-C45X-S01,MME,100.71.153.68,100.71.112.98,JAE214409YY,XE,cat4500X16
MP-IND-CP8,MP-IND-CP8-C3-ST-CCE-US57-S01,CCE,100.71.199.101,100.71.199.101,21980105673GK1001588,VRP,s5720-12TP-LI-AC
KA-BLR-W30,KA-BLR-W30-C3-ST-CCE-E12T-S01,CCE,100.72.6.214,100.72.6.214,EC2337001142,EdgeCOS,ECS4100-12T
MP-IND-R94,MP-IND-R94-C3-ST-CCE-U572-S01,CCE,100.71.199.100,100.71.199.100,21980105673GK5001417,VRP,s5720-12TP-LI-AC
MP-IND-EI8,MP-IND-EI8-C3-ST-CCE-US57-S01,CCE,100.71.199.102,100.71.199.102,21980105673GK7001965,VRP,s5720-12TP-LI-AC
MP-JRH-RJS,MP-JRH-RJS-B3-VM-SBS-US57-S01,SBS,100.71.18.2,100.71.18.2,21023538368YJ1002934,VRP,s5700S-28P-LI-AC
MH-PUN-RHQ,MH-PUN-RHQ-B4-IW-ABS-US57-S01,ABS,100.70.222.146,100.70.222.146,21023538368YF3006470,VRP,s5700S-28P-LI-AC
TN-ERO-EOE,TN-ERO-EOE-T3-TV-TTR-C5XD-R01,TTR,100.70.202.19,null,FOC2641NNT7,XR,ciscoNCS540L6Z18GSysD
MH-PUN-UBG,MH-PUN-UBG-B3-VM-ABS-US57-S01,ABS,100.70.222.211,100.70.173.68,21023538368YFB002418,VRP,s5700S-28P-LI-AC
MH-PUN-Y40,MH-PUN-Y40-C3-ST-CCE-US57-S01,CCE,100.70.222.106,100.70.222.106,21980105673GJ4002921,VRP,s5720-12TP-LI-AC
KA-BLR-N54,KA-BLR-N54-C3-ST-CCE-E12T-S01,CCE,100.72.6.209,100.72.6.209,EC2322002309,EdgeCOS,ECS4100-12T
MP-IND-AS5,MP-IND-AS5-C3-ST-CCE-US57-S01,CCE,100.71.199.107,100.71.199.107,21980105673GJ9000812,VRP,s5720-12TP-LI-AC
MP-IND-Y99,MP-IND-Y99-C3-ST-CCE-U572-S01,CCE,100.71.199.103,100.71.199.103,21980105673GJ8000441,VRP,s5720-12TP-LI-AC
KA-BLR-M28,KA-BLR-M28-C3-ST-CCE-E12T-S01,CCE,100.72.6.216,100.72.6.216,EC2344000962,EdgeCOS,ECS4100-12T
KA-BLR-O77,KA-BLR-O77-C3-ST-CCE-E12T-S01,CCE,100.72.6.215,100.72.6.215,EC2344000866,EdgeCOS,ECS4100-12T
MH-PUN-BMJ,MH-PUN-BMJ-B4-ID-ABS-UC57-S01,ABS,100.70.222.147,100.70.222.147,21980105098YKC000115,VRP,s5700-28P-LI-BAT
TN-TVR-TVR,TN-TVR-TVR-T3-VM-TTR-C5XD-R01,TTR,100.70.202.2,null,FOC2539NU98,XR,ciscoNCS540L6Z18GSysD
KA-BLR-E28,KA-BLR-E28-C3-ST-CCE-E12T-S01,CCE,100.72.6.218,100.72.6.218,EC2404000456,EdgeCOS,ECS4100-12T
KA-BLR-Y45,KA-BLR-Y45-C3-ST-CCE-E12T-S01,CCE,100.72.6.217,100.72.6.217,EC2404000046,EdgeCOS,ECS4100-12T
MP-NEE-NEV,MP-NEE-NEV-T3-VM-SBS-UC57-S01,SBS,100.71.18.26,100.71.18.26,21980105098YKC000155,VRP,s5700-28P-LI-BAT
MH-PUN-MNW,MH-PUN-MNW-B4-AL-ABS-UC57-S01,ABS,100.70.222.220,100.70.222.220,21980105098YKC000072,VRP,s5700-28P-LI-BAT
MP-IND-NG3,MP-IND-NG3-C3-ST-CCE-UL8T-S02,CCE,100.71.199.111,100.71.199.111,2S21A0011876,VRP,S5735-L8T4S-A1
MP-IND-L29,MP-IND-L29-C3-ST-CCE-US57-S01,CCE,100.71.199.109,100.71.199.109,21023538368YJ6007328,VRP,s5700S-28P-LI-AC
MP-IND-OH9,MP-IND-OH9-C3-ST-CCE-UL8T-S01,CCE,100.71.199.108,100.71.199.108,2S2230003594,VRP,S5735-L8T4S-A1
MH-PUN-ACU,MH-PUN-ACU-B4-IW-ABS-UL4X-S01,ABS,100.70.222.221,100.70.222.221,2S2190033261,VRP,S5735-L24T4X-D1
MP-IND-ND8,MP-IND-ND8-C3-ST-CCE-UL8T-S01,CCE,100.71.199.114,100.71.199.114,4E2160049691,VRP,S5735-L8T4S-A1
MH-PUN-KCF,MH-PUN-KCF-B4-ID-ABS-US57-S01,ABS,100.70.222.44,100.70.222.44,21980105098YKC000146,VRP,s5700-28P-LI-BAT
TN-LVM-MVL,TN-LVM-MVL-B4-VM-TTR-C5XD-R01,TTR,100.70.202.31,null,FOC2642N6CS,XR,ciscoNCS540L6Z18GSysD
TN-ERO-ERO,TN-ERO-ERO-T3-ST-TTR-C5XD-R01,TTR,100.70.202.20,null,FOC2522P05U,XR,ciscoNCS540L6Z18GSysA
TN-PNI-NLP,TN-PNI-NLP-B4-VM-TTR-C5XD-R01,TTR,100.70.202.30,null,FOC2641NNWA,XR,ciscoNCS540L6Z18GSysD
TN-RMD-RUM,TN-RMD-RUM-T3-IW-TTR-C5XD-R01,TTR,100.70.202.32,null,FOC2641NNUH,XR,ciscoNCS540L6Z18GSysD
TN-MAY-MYM,TN-MAY-MYM-T3-AL-TTR-C5XD-R01,TTR,100.70.202.3,null,FOC2539NU9Q,XR,ciscoNCS540L6Z18GSysD
MP-RLM-NG2,MP-RLM-NG2-C3-ST-CCE-UL8T-S01,CCE,100.71.199.112,100.71.199.112,2S21A0011858,VRP,S5735-L8T4S-A1
MH-PUN-KPK,MH-PUN-KPK-B4-VM-ABS-US57-S01,ABS,100.70.222.43,100.70.222.43,21980105098YK6000411,VRP,s5700-28P-LI-BAT
MH-PUN-PGW,MH-PUN-PGW-B4-ID-ABS-US57-S01,ABS,100.70.222.66,100.70.171.157,21980105098YK6000237,VRP,s5700-28P-LI-BAT
MP-IND-RM1,MP-IND-RM1-C3-ST-CCE-UL8X-S01,CCE,100.71.199.130,100.71.199.130,2S2210003034,VRP,S5735-L8T4X-A1
TN-PTI-PUK,TN-PTI-PUK-B4-VM-TTR-C5XD-R01,TTR,100.70.202.4,null,FOC2539NU93,XR,ciscoNCS540L6Z18GSysD
MH-PUN-SCQ,MH-PUN-SCQ-B4-VM-ABS-UC57-S01,ABS,100.70.222.90,100.70.222.90,21980105098YKC000128,VRP,s5700-28P-LI-BAT
MH-PUN-BEB,MH-PUN-BEB-B4-VM-ABS-US57-S01,ABS,100.70.222.92,100.70.222.92,21980105098YK6000242,VRP,s5700-28P-LI-BAT
KA-BLR-DG4,KA-BLR-DG4-C3-ST-CCE-U572-S01,CCE,100.72.6.226,100.72.6.226,21980105673GH7000013,VRP,s5720-12TP-LI-AC
MH-PUN-AOA,MH-PUN-AOA-B3-VM-SBS-US57-S01,SBS,100.70.222.94,100.70.222.94,21023538368YHB008567,VRP,s5700S-28P-LI-AC
MP-IND-RM4,MP-IND-RM4-C3-ST-CCE-UL8T-S01,CCE,100.71.199.131,100.71.199.131,4E2160078103,VRP,S5735-L8T4S-A1
MH-PUN-AHW,MH-PUN-AHW-B4-ID-ABS-UC57-S01,ABS,100.70.222.91,100.70.222.91,21980105098YKC000121,VRP,s5700-28P-LI-BAT
TN-CGL-CGV,TN-CGL-CGV-T3-VM-TTR-C5XA-R01,TTR,100.70.202.5,null,FOC2522P05R,XR,ciscoNCS540L6Z18GSysA
MP-IND-QY9,MP-IND-QY9-C3-ST-CCE-UL8X-S01,CCE,100.71.199.162,100.71.199.162,2S2210003119,VRP,S5735-L8T4X-A1
KA-BLR-QG3,KA-BLR-QG3-C3-ST-CCE-U572-S01,CCE,100.72.6.227,100.72.6.227,21980105673GJC002792,VRP,s5720-12TP-LI-AC
MP-IND-O57,MP-IND-O57-C3-ST-CCE-E12T-S01,CCE,100.71.199.133,100.71.199.133,EC2344000916,EdgeCOS,ECS4100-12T
MP-IND-C91,MP-IND-C91-C3-ST-CCE-E12T-S01,CCE,100.71.199.136,100.71.199.136,EC2345003524,EdgeCOS,ECS4100-12T
KA-BLR-KG4,KA-BLR-KG4-C3-ST-CCE-UL8X-S01,CCE,100.72.6.228,100.72.6.228,4E2210085798,VRP,S5735-L8T4X-A1
MH-PUN-DEC,MH-PUN-DEC-B4-ID-ABS-US57-S01,ABS,100.70.222.68,100.70.171.157,21980105138YKA000049,VRP,s5300-28P-LI-BAT
TN-MAA-UVD,TN-MAA-UVD-T3-VM-TTR-C5XA-R01,TTR,100.70.202.7,null,FOC2522P063,XR,ciscoNCS540L6Z18GSysA
MP-IND-K91,MP-IND-K91-C3-ST-CCE-E12T-S01,CCE,100.71.199.135,100.71.199.135,EC2337001512,EdgeCOS,ECS4100-12T
KA-BLR-VA7,KA-BLR-VA7-C3-ST-CCE-E12T-S01,CCE,100.72.6.229,100.72.6.229,EC2316000215,EdgeCOS,ECS4100-12T
MP-IND-N56,MP-IND-N56-C3-ST-CCE-E12T-S01,CCE,100.71.199.163,100.71.199.163,EC2341000752,EdgeCOS,ECS4100-12T
KA-BLR-HJ4,KA-BLR-HJ4-C3-ST-CCE-U572-S01,CCE,100.72.6.231,100.72.6.231,21980105673GL4002335,VRP,s5720-12TP-LI-AC
MH-PUN-WIJ,MH-PUN-WIJ-B4-VM-ABS-US57-S01,ABS,100.70.223.42,100.70.223.42,21023538368YJ1002808,VRP,s5700S-28P-LI-AC
TN-KKD-IKU,TN-KKD-IKU-B3-TV-TTR-C5XD-R01,TTR,100.70.202.8,null,FOC2641NNW5,XR,ciscoNCS540L6Z18GSysD
MH-PUN-WKI,MH-PUN-WKI-B4-AL-ABS-US57-S01,ABS,100.70.223.99,100.70.223.99,21980105098YK5000109,VRP,s5700-28P-LI-BAT
KA-BLR-J92,KA-BLR-J92-C3-ST-CCE-E12T-S01,CCE,100.72.6.230,100.72.6.230,EC2341000739,EdgeCOS,ECS4100-12T
MP-IND-X85,MP-IND-X85-C3-ST-CCE-E12T-S01,CCE,100.71.199.36,100.71.199.36,EC2341000591,EdgeCOS,ECS4100-12T
MH-PUN-UDN,MH-PUN-UDN-B4-TV-ABS-US57-S01,ABS,100.70.223.101,100.70.223.101,21980105098YK6000470,VRP,s5700-28P-LI-BAT
TN-KKD-VVH,TN-KKD-VVH-T3-AL-TTR-C5XD-R01,TTR,100.70.202.9,null,FOC2641NNUC,XR,ciscoNCS540L6Z18GSysD
MH-PUN-DOT,MH-PUN-DOT-B4-TV-MBS-US57-S01,MBS,100.70.223.75,100.70.223.75,21980105098YKC000049,VRP,s5700-28P-LI-BAT
TN-KRR-KXR,TN-KRR-KXR-T3-IW-SBS-US57-S01,SBS,100.70.225.74,100.70.225.74,21023538368YJ6002642,VRP,s5700S-28P-LI-AC
MP-IND-O23,MP-IND-O23-C3-ST-CCE-E12T-S01,CCE,100.71.199.35,100.71.199.35,EC2341000665,EdgeCOS,ECS4100-12T
TN-MAY-MYM,TN-MAY-MYM-T3-AL-ABS-US57-S01,ABS,100.70.225.242,100.70.225.242,21023538368YHB010059,VRP,s5700S-28P-LI-AC
MH-PUN-PHG,MH-PUN-PHG-B4-ID-ABS-UC57-S01,ABS,100.70.223.98,100.70.223.98,21980105098YKC000200,VRP,s5700-28P-LI-BAT
TN-PTI-PUK,TN-PTI-PUK-B4-VM-SBS-US57-S01,SBS,100.70.215.226,100.70.215.226,21023538368YJ3001209,VRP,s5700S-28P-LI-AC
TN-ARI-AYL,TN-ARI-AYL-B4-AL-ABS-UC57-S01,ABS,100.70.211.130,100.70.211.130,21980105098YKC000247,VRP,s5700-28P-LI-BAT
MP-IND-OR9,MP-IND-OR9-C3-ST-CCE-UL8T-S01,CCE,100.71.199.37,100.71.199.37,2S2210010825,VRP,S5735-L8T4S-A1
MH-PUN-SVW,MH-PUN-SVW-B4-ST-ABS-US57-S01,ABS,100.70.223.74,100.70.223.74,21980105098YJ1000024,VRP,s5700-28P-LI-BAT
TN-TUT-TTV,TN-TUT-TTV-T3-ST-SBS-US57-S02,SBS,100.64.170.99,100.64.170.99,21023538368YJ1002471,VRP,s5700S-28P-LI-AC
MH-PUN-GLL,MH-PUN-GLL-B3-AL-MBS-US57-S01,MBS,100.70.223.43,100.70.223.43,21980105098YK6000406,VRP,s5700-28P-LI-BAT
MH-IGD-GIQ,MH-IGD-GIQ-B4-IW-ABS-UC57-S01,ABS,100.70.225.106,100.70.225.106,21980105098YKC000176,VRP,s5700-28P-LI-BAT
MP-IND-OE8,MP-IND-OE8-C3-ST-CCE-UL8T-S01,CCE,100.71.199.68,100.71.199.68,2S2230003872,VRP,S5735-L8T4S-A1
KA-BLR-R14,KA-BLR-R14-C3-ST-CCE-E12T-S01,CCE,100.72.6.234,100.72.6.234,EC2337001239,EdgeCOS,ECS4100-12T
MP-IND-RL9,MP-IND-RL9-C3-ST-CCE-UL8X-S01,CCE,100.71.199.67,100.71.199.67,4E2210085215,VRP,S5735-L8T4X-A1
MP-IND-W36,MP-IND-W36-C3-ST-CCE-E12T-S01,CCE,100.71.199.69,100.71.199.69,EC2344001063,EdgeCOS,ECS4100-12T
MP-IND-V69,MP-IND-V69-C3-ST-CCE-US57-S01,CCE,100.71.199.66,100.71.199.66,21980105673GJB000002,VRP,s5720-12TP-LI-AC
MP-IND-X54,MP-IND-X54-C3-ST-CCE-E12T-S01,CCE,100.71.199.42,100.71.199.42,EC2345003664,EdgeCOS,ECS4100-12T
MP-IND-Q09,MP-IND-Q09-C3-ST-CCE-E12T-S01,CCE,100.71.199.40,100.71.199.40,EC2337001398,EdgeCOS,ECS4100-12T
MH-PUN-W04,MH-PUN-W04-C3-ST-CCE-E12T-S01,CCE,100.70.225.115,100.70.225.115,EC2337001263,EdgeCOS,ECS4100-12T
MP-IND-V23,MP-IND-V23-C3-ST-CCE-E12T-S01,CCE,100.71.199.41,100.71.199.41,EC2345003836,EdgeCOS,ECS4100-12T
MP-IND-S69,MP-IND-S69-C3-ST-CCE-U572-S01,CCE,100.71.199.74,100.71.199.74,21980105673GJC004910,VRP,s5720-12TP-LI-AC
MP-IND-PD4,MP-IND-PD4-C3-ST-CCE-UL8T-S01,CCE,100.71.199.72,100.71.199.72,2S2210010961,VRP,S5735-L8T4S-A1
TN-MAA-OK5,TN-MAA-OK5-C3-ST-CCE-UL8T-S01,CCE,100.70.230.10,100.70.230.10,2S2210010906,VRP,S5735-L8T4S-A1
MH-PUN-TW4,MH-PUN-TW4-C3-ST-CCE-E12T-S01,CCE,100.70.225.116,100.70.225.116,EC2316000224,EdgeCOS,ECS4100-12T
MP-IND-Z86,MP-IND-Z86-C3-ST-CCE-E12T-S01,CCE,100.71.199.38,100.71.199.38,EC2337001058,EdgeCOS,ECS4100-12T
MH-IGD-HGC,MH-IGD-HGC-B4-ID-ABS-UC57-S01,ABS,100.70.225.108,100.70.225.108,21980105098YKC000197,VRP,s5700-28P-LI-BAT
KA-BLR-CZ8,KA-BLR-CZ8-C3-ST-CCE-U572-S01,CCE,100.72.6.235,100.72.6.235,21980105673GK1002974,VRP,s5720-12TP-LI-AC
MH-PUN-A96,MH-PUN-A96-C3-ST-CCE-E12T-S01,CCE,100.70.225.118,100.70.225.118,EC2341000585,EdgeCOS,ECS4100-12T
TN-MAA-K87,TN-MAA-K87-C3-ST-CCE-E12T-S01,CCE,100.70.230.12,100.70.230.12,EC2332000196,EdgeCOS,ECS4100-12T
MH-NGP-HIA,MH-NGP-HIA-B4-AL-ABS-US57-S01,ABS,100.70.225.186,100.70.225.186,21023538368YJ1003059,VRP,s5700S-28P-LI-AC
MH-NAS-LX9,MH-NAS-LX9-C3-ST-CCE-UL8T-S01,CCE,100.70.225.122,100.70.225.122,4E2160077864,VRP,S5735-L8T4S-A1
KA-BLR-FM8,KA-BLR-FM8-C3-ST-CCE-U572-S01,CCE,100.72.6.239,100.72.6.239,21980105673GJC003083,VRP,s5720-12TP-LI-AC
MP-IND-UC1,MP-IND-UC1-C3-ST-CCE-E12T-S01,CCE,100.71.199.75,100.71.199.75,EC2316000207,EdgeCOS,ECS4100-12T
MH-NGP-HCX,MH-NGP-HCX-B4-IW-ABS-UL4X-S01,ABS,100.70.225.190,100.72.52.35,4E2260079153,VRP,NA
KA-BLR-FN7,KA-BLR-FN7-C3-ST-CCE-UF57-S01,CCE,100.72.6.238,100.72.6.238,21980105118YJ1000014,VRP,s5700-28P-LI-24S-BAT
KA-BLR-N45,KA-BLR-N45-C3-ST-CCE-U34X-S01,CCE,100.72.6.237,100.72.6.237,4E21C0152029,VRP,NA
MH-AMJ-AJO,MH-AMJ-AJO-B4-IW-ABS-UC57-S01,ABS,100.70.225.58,100.70.225.58,21980105098YKC000259,VRP,s5700-28P-LI-BAT
MP-IND-NI2,MP-IND-NI2-C3-ST-CCE-UL8T-S01,CCE,100.71.199.76,100.71.199.76,4E2160049826,VRP,S5735-L8T4S-A1
KA-BLR-E92,KA-BLR-E92-C3-ST-CCE-E12T-S01,CCE,100.72.6.236,100.72.6.236,EC2341000647,EdgeCOS,ECS4100-12T
MH-NAS-QY7,MH-NAS-QY7-C3-ST-CCE-UL8X-S01,CCE,100.70.225.123,100.70.225.123,2S21C0011682,VRP,S5735-L8T4X-A1
MH-NGP-CBW,MH-NGP-CBW-B4-IW-ABS-UC57-S01,ABS,100.70.225.187,100.72.52.35,21023538368YJ1003039,VRP,s5700S-28P-LI-AC
MH-NGP-P07,MH-NGP-P07-C3-ST-CCE-E12T-S01,CCE,100.70.225.188,100.70.225.188,EC2341000566,EdgeCOS,ECS4100-12T
MH-NAS-K34,MH-NAS-K34-C3-ST-CCE-E12T-S01,CCE,100.70.225.124,100.70.225.124,EC2404000361,EdgeCOS,ECS4100-12T
KA-BLR-HQ3,KA-BLR-HQ3-C3-ST-CCE-U572-S01,CCE,100.72.6.240,100.72.6.240,21980105673GL4000863,VRP,s5720-12TP-LI-AC
TN-CBE-NNJ,TN-CBE-NNJ-B2-AL-MLU-E28F-S01,MLU,100.71.61.85,100.71.61.85,null,EdgeCOS,ECS4120-28Fv2
MP-IND-JS8,MP-IND-JS8-C3-ST-CCE-U572-S01,CCE,100.71.199.80,100.71.199.80,21980105673GJ9002140,VRP,s5720-12TP-LI-AC
TN-MAA-W69,TN-MAA-W69-C3-ST-CCE-E12T-S01,CCE,100.70.230.14,100.70.230.14,EC2535000217,EdgeCOS,ECS4100-12T
MH-NND-BOX,MH-NND-BOX-B4-AL-ABS-UC57-S01,ABS,100.70.225.66,100.70.225.66,21980105098YKC000211,VRP,s5700-28P-LI-BAT
TN-MAA-PY1,TN-MAA-PY1-C3-ST-CCE-C34X-S01,CCE,100.70.230.15,null,FCW2041H032,IOS,ciscoMe3400eg2csA
MP-IND-RQ4,MP-IND-RQ4-C3-ST-CCE-E12T-S01,CCE,100.71.199.81,100.71.199.81,EC2247003437,EdgeCOS,ECS4100-12T
MP-IND-X52,MP-IND-X52-C3-ST-CCE-UL8X-S01,CCE,100.71.199.78,100.71.199.78,4E22C0078769,VRP,NA
TN-MAA-PY2,TN-MAA-PY2-C3-ST-CCE-UL8T-S01,CCE,100.70.230.16,100.70.230.16,2S2190046101,VRP,S5735-L8T4S-A1
MH-SGL-PUQ,MH-SGL-PUQ-B4-IW-ABS-US53-S01,ABS,100.70.249.234,100.70.249.234,21980105138YKA000029,VRP,s5300-28P-LI-BAT
MH-PUN-IDU,MH-PUN-IDU-B3-VM-SBS-US57-S01,SBS,100.70.250.130,100.70.250.130,21023538368YFB002417,VRP,s5700S-28P-LI-AC
MP-IND-C65,MP-IND-C65-C3-ST-CCE-E12T-S01,CCE,100.71.199.84,100.71.199.84,EC2332000315,EdgeCOS,ECS4100-12T
TN-MAA-Q80,TN-MAA-Q80-C3-ST-CCE-U572-S01,CCE,100.70.230.19,100.70.230.19,21980105673GL4002326,VRP,s5720-12TP-LI-AC
TN-MAA-QR1,TN-MAA-QR1-C3-ST-CCE-UL8T-S01,CCE,100.70.230.18,100.70.230.18,4E2210084683,VRP,S5735-L8T4S-A1
MH-SGL-SQG,MH-SGL-SQG-T3-VM-ABS-US57-S01,ABS,100.70.250.82,100.70.250.82,21980105098YKC000262,VRP,s5700-28P-LI-BAT
KA-BLR-X85,KA-BLR-X85-C3-ST-CCE-U573-S01,CCE,100.72.6.241,100.72.6.241,21980109184EM3000834,VRP,s5735-L12T4S-A
KA-BLR-BB1,KA-BLR-BB1-C3-ST-CCE-U572-S01,CCE,100.72.6.242,100.72.6.242,21980105673GJ9002211,VRP,s5720-12TP-LI-AC
MH-SGL-SQG,MH-SGL-SQG-T3-VM-ABS-US57-S02,ABS,100.70.250.83,100.70.250.83,21023538368YJ1003471,VRP,s5700S-28P-LI-AC
KA-DOD-N53,KA-DOD-N53-C3-ST-CCE-U572-S01,CCE,100.72.6.243,100.72.6.243,21980105673GH8001509,VRP,s5720-12TP-LI-AC
MP-IND-KP3,MP-IND-KP3-C3-ST-CCE-UL8T-S01,CCE,100.71.199.98,100.71.199.98,4E2160029517,VRP,S5735-L8T4S-A1
KA-BLR-TM3,KA-BLR-TM3-C3-ST-CCE-V114-R01,CCE,100.72.6.246,null,LBADVA71191101572,ADVA,FSP 150-GE114Pro
KA-BLR-ON4,KA-BLR-ON4-C3-ST-CCE-UL8T-S01,CCE,100.72.6.244,100.72.6.244,4E2160094502,VRP,S5735-L8T4S-A1
KA-BLR-V81,KA-BLR-V81-C3-ST-CCE-U572-S01,CCE,100.72.6.245,100.72.6.245,21980105673GKC006731,VRP,s5720-12TP-LI-AC
MP-IND-TP8,MP-IND-TP8-C3-ST-CCE-US57-S01,CCE,100.71.199.86,100.71.199.86,21980105098YK5000032,VRP,s5700-28P-LI-BAT
KA-DOD-S68,KA-DOD-S68-C3-ST-CCE-E28F-S01,CCE,100.72.6.247,100.72.6.247,21980105673GJ1000299,EdgeCOS,ECS4120-28Fv2-I
TN-MAA-NN8,TN-MAA-NN8-C3-ST-CCE-UL8T-S01,CCE,100.70.230.2,100.70.230.2,2S2210010605,VRP,S5735-L8T4S-A1
KA-BLR-OL6,KA-BLR-OL6-C3-ST-CCE-UL8T-S01,CCE,100.72.6.249,100.72.6.249,4E2160094413,VRP,S5735-L8T4S-A1
MP-BPL-OM2,MP-BPL-OM2-C3-ST-CCE-UL8T-S01,CCE,100.71.2.178,100.71.2.178,2S2230004002,VRP,S5735-L8T4S-A1
MH-SOP-DSS,MH-SOP-DSS-T3-VM-SBS-UC57-S01,SBS,100.70.251.138,100.70.251.138,21980105138YF5000146,VRP,s5300-28P-LI-BAT
MH-AHM-SMU,MH-AHM-SMU-B3-VM-SBS-US57-S01,SBS,100.70.251.98,100.70.251.98,21980105098YK6000220,VRP,s5700-28P-LI-BAT
TN-MAA-RC7,TN-MAA-RC7-C3-ST-CCE-US57-S01,CCE,100.70.230.20,100.70.230.20,21980105673GH7000289,VRP,s5720-12TP-LI-AC
KA-BLR-ON7,KA-BLR-ON7-C3-ST-CCE-U572-S01,CCE,100.72.6.248,100.72.6.248,21980105673GH8002019,VRP,s5720-12TP-LI-AC
TN-MAA-RE3,TN-MAA-RE3-C3-ST-CCE-US57-S01,CCE,100.70.230.21,100.70.230.21,21980105673GKC006460,VRP,s5720-12TP-LI-AC
MH-SGL-SS8,MH-SGL-SS8-C3-ST-CCE-U572-S01,CCE,100.70.250.86,100.70.250.86,21980105673GHC001456,VRP,s5720-12TP-LI-AC
MP-DRM-OM5,MP-DRM-OM5-C3-ST-CCE-UL8T-S01,CCE,100.71.21.42,100.71.21.42,2S2230003610,VRP,S5735-L8T4S-A1
MP-DRM-OM8,MP-DRM-OM8-C3-ST-CCE-UL8T-S01,CCE,100.71.21.43,100.71.21.43,2S2210010112,VRP,S5735-L8T4S-A1
KA-BLR-PW5,KA-BLR-PW5-C3-ST-CCE-UL8T-S01,CCE,100.72.6.250,100.72.6.250,4E2210084783,VRP,S5735-L8T4S-A1
MP-BPL-M49,MP-BPL-M49-C3-ST-CCE-E12T-S01,CCE,100.71.215.58,100.71.215.58,EC2337001076,EdgeCOS,ECS4100-12T
MP-DRM-OM6,MP-DRM-OM6-C3-ST-CCE-UL8T-S01,CCE,100.71.21.44,100.71.21.44,2S2230003611,VRP,S5735-L8T4S-A1
KA-BLR-OE2,KA-BLR-OE2-C3-ST-CCE-US57-S01,CCE,100.72.6.252,100.72.6.252,21980105673GH7000014,VRP,s5720-12TP-LI-AC
MP-DRM-I59,MP-DRM-I59-C3-ST-CCE-E12T-S01,CCE,100.71.216.234,100.71.216.234,EC2408000268,EdgeCOS,ECS4100-12T
MH-MUM-LOC,MH-MUM-LOC-B1-ST-MME-C54Q-R01,MME,100.70.252.112,null,NA,XR,ciscoN54024Z8Q2CM
MP-KTN-E25,MP-KTN-E25-C3-ST-CCE-E12T-S01,CCE,100.71.216.114,100.71.216.114,EC2341000582,EdgeCOS,ECS4100-12T
KA-BLR-RM6,KA-BLR-RM6-C3-ST-CCE-UL8T-S01,CCE,100.72.6.251,100.72.6.251,2S21A0011774,VRP,S5735-L8T4S-A1
TN-MAA-RL2,TN-MAA-RL2-C3-ST-CCE-US57-S01,CCE,100.70.230.23,100.70.230.23,21980105673GJ8000337,VRP,s5720-12TP-LI-AC
MP-GWA-NC5,MP-GWA-NC5-C3-ST-CCE-UL8T-S01,CCE,100.71.4.114,100.71.4.114,2S21A0011591,VRP,S5735-L8T4S-A1
KA-BLR-LA3,KA-BLR-LA3-C3-ST-CCE-UL8T-S01,CCE,100.72.6.253,100.72.6.253,21980112842SM6501734,VRP,S5735-L8T4S-A1
MP-GWA-VB9,MP-GWA-VB9-C3-ST-CCE-E12T-S01,CCE,100.71.4.117,100.71.4.117,EC2247003472,EdgeCOS,ECS4100-12T
KA-BLR-PW2,KA-BLR-PW2-C3-ST-CCE-UL8T-S01,CCE,100.72.6.3,100.72.6.3,4E2210084855,VRP,S5735-L8T4S-A1
KA-BLR-TA6,KA-BLR-TA6-C3-ST-CCE-UL8X-S01,CCE,100.72.6.36,100.72.6.36,4E2290006274,VRP,NA
KA-BLR-FN1,KA-BLR-FN1-C3-ST-CCE-U572-S01,CCE,100.72.6.38,100.72.6.38,21980105673GJC002470,VRP,s5720-12TP-LI-AC
MH-MUM-NWI,MH-MUM-NWI-B1-ST-MME-C54Q-R01,MME,100.70.252.114,null,NA,XR,ciscoN54024Z8Q2CM
TN-MAA-RR4,TN-MAA-RR4-C3-ST-CCE-E12T-S01,CCE,100.70.230.27,100.70.230.27,EC2247003315,EdgeCOS,ECS4100-12T
TN-MAA-Q39,TN-MAA-Q39-C3-ST-CCE-U572-S01,CCE,100.70.230.25,100.70.230.25,21980105673GL9001183,VRP,s5720-12TP-LI-AC
MP-GWA-GWA,MP-GWA-GWA-T3-ST-MLU-UF57-S01,MLU,100.71.4.130,100.71.4.130,21980105118YK5000025,VRP,s5700-28P-LI-24S-BAT
KA-BLR-M79,KA-BLR-M79-C3-ST-CCE-U572-S01,CCE,100.72.6.37,100.72.6.37,21980105673GH7000264,VRP,s5720-12TP-LI-AC
