bstn,hostname,role,ip,root_ip,serialNumber,platform,model
DL-DEL-SP4,DL-DEL-SP4-C3-ST-CCE-UL8X-S01,CCE,100.73.21.111,100.73.21.111,4E21B0352964,VRP,NA
DL-DEL-IU2,DL-DEL-IU2-C3-ST-CCE-U572-S01,CCE,100.73.21.112,100.73.21.112,21980105673GL9002063,VRP,s5720-12TP-LI-AC
DL-DEL-A28,DL-DEL-A28-C3-ST-CCE-E12T-S01,CCE,100.73.21.113,100.73.21.113,EC2322002487,EdgeCOS,ECS4100-12T
DL-DEL-MF1,DL-DEL-MF1-C3-ST-CCE-UL8T-S01,CCE,100.73.21.114,100.73.21.114,4E2160077290,VRP,S5735-L8T4S-A1
DL-DEL-TO7,DL-DEL-TO7-C3-ST-CCE-US57-S01,CCE,100.73.21.118,100.73.21.118,21023538368YFC003094,VRP,s5700S-28P-LI-AC
DL-DEL-QU3,DL-DEL-QU3-C3-ST-CCE-UL8X-S01,CCE,100.73.21.119,100.73.21.119,4E2250053660,VRP,S5735-L8T4X-A1
DL-DEL-SR2,DL-DEL-SR2-C3-ST-CCE-UL8X-S01,CCE,100.73.21.120,100.73.21.120,4E21B0352980,VRP,NA
DL-DEL-TH9,DL-DEL-TH9-C3-ST-CCE-US57-S01,CCE,100.73.21.121,100.73.21.121,21980105673GL9001888,VRP,s5720-12TP-LI-AC
DL-DEL-I97,DL-DEL-I97-C3-ST-CCE-U572-S01,CCE,100.73.21.122,100.73.21.122,21980105673GJ1000066,VRP,s5720-12TP-LI-AC
DL-DEL-L03,DL-DEL-L03-C3-ST-CCE-UL8T-S01,CCE,100.73.21.123,100.73.21.123,2S21A0011880,VRP,S5735-L8T4S-A1
DL-DEL-Kl3,DL-DEL-Kl3-C3-ST-CCE-UL8T-S01,CCE,100.73.21.125,100.73.21.125,4E2160054273,VRP,S5735-L8T4S-A1
DL-DEL-KO5,DL-DEL-KO5-C3-ST-CCE-E12T-S01,CCE,100.73.21.124,100.73.21.124,EC2404005650,EdgeCOS,ECS4100-12T
DL-DEL-IN9,DL-DEL-IN9-C3-ST-CCE-US57-S01,CCE,100.73.21.128,100.73.21.128,21980105673GL9001783,VRP,s5720-12TP-LI-AC
GA-MAP-F68,GA-MAP-F68-C3-ST-CCE-E12T-S01,CCE,100.72.40.11,100.72.40.11,EC2424004746,EdgeCOS,ECS4100-12T
DL-DEL-J51,DL-DEL-J51-C3-ST-CCE-E12T-S01,CCE,100.73.21.130,100.73.21.130,EC2337001057,EdgeCOS,ECS4100-12T
DL-DEL-EW9,DL-DEL-EW9-C3-ST-CCE-U572-S01,CCE,100.73.21.133,100.73.21.133,21980105673GK9002930,VRP,s5720-12TP-LI-AC
DL-DEL-JC6,DL-DEL-JC6-C3-ST-CCE-U572-S01,CCE,100.73.21.131,100.73.21.131,21980105673GL9002450,VRP,s5720-12TP-LI-AC
DL-DEL-Z92,DL-DEL-Z92-C3-ST-CCE-U572-S01,CCE,100.73.21.135,100.73.21.135,21980105673GK1002179,VRP,s5720-12TP-LI-AC
DL-DEL-T36,DL-DEL-T36-C3-ST-CCE-E12T-S01,CCE,100.73.21.134,100.73.21.134,EC2337001305,EdgeCOS,ECS4100-12T
DL-DEL-M44,DL-DEL-M44-C3-ST-CCE-US57-S01,CCE,100.73.21.136,100.73.21.136,21980105673GH7000198,VRP,s5720-12TP-LI-AC
DL-DEL-S25,DL-DEL-S25-C3-ST-CCE-US57-S01,CCE,100.73.21.97,100.73.21.97,21980105673GHC001418,VRP,s5720-12TP-LI-AC
DL-DEL-UL9,DL-DEL-UL9-C3-ST-CCE-E12T-S01,CCE,100.73.21.98,100.73.21.98,EC2316000435,EdgeCOS,ECS4100-12T
DL-DEL-ANT,DL-DEL-ANT-B1-ST-MME-C54Q-R01,MME,100.73.23.176,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-VIK,DL-DEL-VIK-B1-ST-MME-C54Q-R01,MME,100.73.23.177,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-VON,DL-DEL-VON-B1-ST-MME-C54Q-R01,MME,100.73.23.178,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-MKB,DL-DEL-MKB-B1-ST-MME-C54Q-R01,MME,100.73.23.179,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-GME,DL-DEL-GME-B1-VM-MME-C54Q-R01,MME,100.73.23.180,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-DMF,DL-DEL-DMF-B1-ST-MME-C54Q-R01,MME,100.73.23.181,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-PTW,DL-DEL-PTW-C3-ST-MME-C54Q-R01,MME,100.73.23.183,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-GPW,DL-DEL-GPW-C3-ST-MME-C54Q-R01,MME,100.73.23.184,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-BCL,DL-DEL-BCL-B1-VM-MME-C54Q-R01,MME,100.73.23.185,null,NA,XR,ciscoN54024Z8Q2CM
DL-DEL-ABG,DL-DEL-ABG-B1-VM-MME-C54Q-R01,MME,100.73.23.186,null,NA,XR,ciscoN54024Z8Q2CM
JK-JMU-E70,JK-JMU-E70-C3-ST-CCE-E12T-S01,CCE,100.71.241.138,100.71.241.138,EC2424004774,EdgeCOS,ECS4100-12T
OR-CUT-U45,OR-CUT-U45-C3-ST-CCE-E12T-S01,CCE,100.71.73.117,100.71.73.117,EC2337001017,EdgeCOS,ECS4100-12T
HP-SML-RHY,HP-SML-RHY-B3-IW-SBS-US57-S01,SBS,100.70.34.34,100.70.34.34,21980105098YK6000160,VRP,s5700-28P-LI-BAT
MP-BAW-TII,MP-BAW-TII-B3-AL-SBS-US57-S01,SBS,100.64.233.34,100.64.233.34,21023538368YJ1002903,VRP,s5700S-28P-LI-AC
MP-DLV-EDI,MP-DLV-EDI-B3-ID-ABS-US57-S01,ABS,100.71.141.246,100.71.141.246,21023538368YJ1001961,VRP,s5700S-28P-LI-AC
WB-CAL-FW7,WB-CAL-FW7-C3-ST-CCE-U572-S01,CCE,100.70.180.67,100.70.180.67,21980105673GJ9000710,VRP,s5720-12TP-LI-AC
BR-PAT-CSQ,BR-PAT-CSQ-B2-CD-MLU-E28F-S02,MLU,100.127.249.179,100.127.249.179,null,EdgeCOS,ECS4120-28Fv2
GJ-VDR-H36,GJ-VDR-H36-C3-ST-CCE-E12T-S01,CCE,100.72.154.123,100.72.154.123,EC2404005468,EdgeCOS,ECS4100-12T
TS-HYD-X01,TS-HYD-X01-C3-ST-MTP-I530-R01,MTP,100.70.147.101,null,M9A833DE,CIENA,"Ciena,CN5130"
TN-MAA-X89,TN-MAA-X89-C3-ST-CCE-U572-S01,CCE,100.66.59.199,100.66.59.199,21980112842SM6501702,VRP,S5735-L8T4S-A1
UP-ALL-IG3,UP-ALL-IG3-C3-ST-CCE-US57-S01,CCE,100.70.108.222,100.70.108.222,21980105673GL9001889,VRP,s5720-12TP-LI-AC
MH-PUN-Z15,MH-PUN-Z15-C3-ST-CCE-U572-S01,CCE,100.71.196.185,100.71.196.185,21980105673GL9001581,VRP,s5720-12TP-LI-AC
MH-NGP-P42,MH-NGP-P42-C3-ST-CCE-E12T-S01,CCE,100.71.206.181,100.71.206.181,EC2424004697,EdgeCOS,ECS4100-12T
GJ-SRT-E60,GJ-SRT-E60-C3-ST-CCE-E12T-S01,CCE,100.71.179.84,100.71.179.84,EC2404005294,EdgeCOS,ECS4100-12T
HR-KAI-Y27,HR-KAI-Y27-C3-ST-CCE-UL8X-S01,CCE,100.70.218.4,100.70.218.4,2S2210003358,VRP,S5735-L8T4X-A1
RJ-BLW-E21,RJ-BLW-E21-C3-ST-CCE-E12T-S01,CCE,100.70.251.6,100.70.251.6,EC2424004698,EdgeCOS,ECS4100-12T
WB-BPI-BCN,WB-BPI-BCN-B2-IW-ABS-E28F-S01,ABS,100.70.194.196,100.70.194.196,21980105098YK6000119,EdgeCOS,ECS4120-28Fv2-I
WB-HOW-GB5,WB-HOW-GB5-C3-ST-CCE-E12T-S01,CCE,100.71.16.5,100.71.16.5,EC2404000411,EdgeCOS,ECS4100-12T
