x_sitl_telco_sify_u_lms_id,x_sitl_telco_sify_u_aconnectinginterface,x_sitl_telco_sify_u_zconnectinginterface,x_sitl_telco_sify_u_a_device,x_sitl_telco_sify_u_z_device,x_sitl_telco_sify_u_link_status,u_provider_circuit_id,x_sitl_telco_sify_u_circuit_id,x_sitl_telco_sify_u_bandwidth,u_bandwidth_units,sys_class_name,x_sitl_telco_sify_u_vendor_name,u_a_pop,u_z_pop,x_sitl_telco_sify_u_total_distance,x_sitl_telco_sify_u_link_description
12828,GigabitEthernet0/0/28,GigabitEthernet0/0/28,100.65.147.108,100.65.147.108,Active,,,,,Sify_DataLinks_Fiber,SUNIL COMMUNICATIONS AND ENTERPRISES,MH-PUN-TTE,MH-PUN-TTE,14,
14961,TenGigabitEthernet1/1,TenGigabitEthernet1/15,100.66.34.8,100.66.34.7,Active,,,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-ANB-CSA,MH-MUM-MOP,13.521,
14299,,,,,Active,11768389,11768389,,,Sify_DataLinks_Fiber,BHARTI AIRTEL LIMITED,,,11192,
14504,GigabitEthernet0/0/26,GigabitEthernet0/0/26,100.65.241.39,100.65.241.40,Active,,,,,Sify_DataLinks_Fiber,GPS ENTERPRISES,MH-NAS-GJS,MH-NAS-PUH,4,Hotel Pushkaraj-Viom colo_Gajanan Sankul-Viom colo_Gig_1024_GPS Enterprises_14504
14937,TenGigabitEthernet1/2,TenGigabitEthernet1/2,100.66.34.3,100.66.34.2,Active,,,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-BWN-MOI,MH-BWN-HAD,6.832,
14948,,TenGigabitEthernet1/2,,100.66.38.135,Active,,,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-MUM-VSH,MH-MUM-LPU,19.218,Vashi-IDC_Belapur-Fiber POP_Gig_1024_Dinesh Engineers Limited_14948
15736,,,,,Active,Kalpdurm- Pithampur BST  to Idea POP,Kalpdurm- Pithampur BST  to Idea POP,,,Sify_DataLinks_Fiber,KALPDRUM CABLENET PRIVATE LIMITED,,,22,
24462,,,,,Active,24462,24462,,,Sify_DataLinks_Fiber,SAITECH TELECOM PRIVATE LIMITED,,,8.5,
24471,,,,,Active,Ratlam-Ratalm Idea Agrr-RS Network,Ratlam-Ratalm Idea Agrr-RS Network,,,Sify_DataLinks_Fiber,RS NETWORK SOLUTION,,,6,
24773,TwentyFiveGigE1/0/2,TwentyFiveGigE1/0/1,100.71.67.35,100.71.67.36,Active,24773,24773,,,Sify_DataLinks_Fiber,UCN CABLE NETWORK PVT LTD,MH-NGP-APZ,MH-NGP-VLT,1,
